Layer,file_count,typed_count,untyped_count,typed/file,rate_sum,avg_notanytyperate
L0,41,2,39,4.88%,2.0,1.0
L1,3,0,3,0.00%,0,/
L2,27,1,26,3.70%,1.0,1.0
L3,20,0,20,0.00%,0,/
L4,11,0,11,0.00%,0,/
L5,6,0,6,0.00%,0,/
L6,3,0,3,0.00%,0,/
L7,52,2,50,3.85%,1.9951690821256038,0.9975845410628019
L8,24,2,22,8.33%,1.9652777777777777,0.9826388888888888
L9,6,1,5,16.67%,1.0,1.0
L10,15,0,15,0.00%,0,/
L11,14,0,14,0.00%,0,/
L12,11,0,11,0.00%,0,/
L13,16,1,15,6.25%,1.0,1.0
L14,1,0,1,0.00%,0,/
L15,48,4,44,8.33%,4.0,1.0
L16,4,0,4,0.00%,0,/
L17,5,0,5,0.00%,0,/
L18,3,0,3,0.00%,0,/
L19,1,0,1,0.00%,0,/
L20,283,5,278,1.77%,5.0,1.0
Isolated,104,3,101,2.88%,3.0,1.0
