index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,12.50%,100.00%,12.50%,100.00%,12.50%,100.00%,12.50%,100.00%,12.50%,100.00%,12.50%
Top 20%,100.00%,25.00%,100.00%,25.00%,100.00%,25.00%,87.50%,21.88%,100.00%,25.00%,100.00%,25.00%
Top 30%,91.67%,34.38%,83.33%,31.25%,91.67%,34.38%,83.33%,31.25%,83.33%,31.25%,100.00%,37.50%
Top 40%,81.25%,40.62%,81.25%,40.62%,81.25%,40.62%,87.50%,43.75%,87.50%,43.75%,87.50%,43.75%
Top 50%,70.00%,43.75%,75.00%,46.88%,85.00%,53.12%,85.00%,53.12%,90.00%,56.25%,90.00%,56.25%
Top 60%,75.00%,56.25%,75.00%,56.25%,83.33%,62.50%,83.33%,62.50%,83.33%,62.50%,91.67%,68.75%
Top 70%,78.57%,68.75%,78.57%,68.75%,85.71%,75.00%,85.71%,75.00%,85.71%,75.00%,89.29%,78.12%
Top 80%,78.12%,78.12%,81.25%,81.25%,84.38%,84.38%,81.25%,81.25%,78.12%,78.12%,84.38%,84.38%
Top 90%,77.78%,87.50%,83.33%,93.75%,83.33%,93.75%,80.56%,90.62%,80.56%,90.62%,80.56%,90.62%
Top 100%,78.05%,100.00%,78.05%,100.00%,78.05%,100.00%,78.05%,100.00%,78.05%,100.00%,78.05%,100.00%
